2012 HDI rank,Name,Type,Abbreviation,2012 HDI Value,2012 Life Expectancy at Birth,2010 Mean Years of Schooling,2010 Mean Years of Schooling Note,2011 Expected Years of Schooling,2011 Expected Years of Schooling Note,2012 Gross National Income (GNI) per capita,2012 Gross National Income (GNI) per capita Note,2012 GNI per capita rank minus HDI Rank,2012 NonIncome HDI Value
1,Norway,Ranked Country,NOR,0.955,81.3,12.6,,17.5,,48688,,4,0.977
2,Australia,Ranked Country,AUS,0.938,82,12,c,19.6,d,34340,,15,0.978
3,United States,Ranked Country,USA,0.937,78.7,13.3,,16.8,,43480,,6,0.958
4,Netherlands,Ranked Country,NLD,0.921,80.8,11.6,c,16.9,,37282,,8,0.945
5,Germany,Ranked Country,DEU,0.92,80.6,12.2,,16.4,e,35431,,10,0.948
6,New Zealand,Ranked Country,NZL,0.919,80.8,12.5,,19.7,d,24358,,26,0.978
7,Ireland,Ranked Country,IRL,0.916,80.7,11.6,,18.3,d,28671,,19,0.96
7,Sweden,Ranked Country,SWE,0.916,81.6,11.7,c,16,,36143,,6,0.94
9,Switzerland,Ranked Country,CHE,0.913,82.5,11,c,15.7,,40527,,2,0.926
10,Japan,Ranked Country,JPN,0.912,83.6,11.6,c,15.3,,32545,,11,0.942
11,Canada,Ranked Country,CAN,0.911,81.1,12.3,,15.1,,35369,,5,0.934
12,Korea (Republic of),Ranked Country,KOR,0.909,80.7,11.6,,17.2,,28231,,15,0.949
13,"Hong Kong, China (SAR)",Ranked Country,HKG,0.906,83,10,,15.5,,45598,,-6,0.907
13,Iceland,Ranked Country,ISL,0.906,81.9,10.4,,18.3,d,29176,,12,0.943
15,Denmark,Ranked Country,DNK,0.901,79,11.4,c,16.8,,33518,,4,0.924
16,Israel,Ranked Country,ISR,0.9,81.9,11.9,,15.7,,26224,,13,0.942
17,Belgium,Ranked Country,BEL,0.897,80,10.9,c,16.4,,33429,,3,0.917
18,Austria,Ranked Country,AUT,0.895,81,10.8,,15.3,,36438,,-5,0.908
18,Singapore,Ranked Country,SGP,0.895,81.2,10.1,c,14.4,f,52613,,-15,0.88
20,France,Ranked Country,FRA,0.893,81.7,10.6,c,16.1,,30277,,4,0.919
21,Finland,Ranked Country,FIN,0.892,80.1,10.3,,16.9,,32510,,2,0.912
21,Slovenia,Ranked Country,SVN,0.892,79.5,11.7,,16.9,,23999,,12,0.936
23,Spain,Ranked Country,ESP,0.885,81.6,10.4,c,16.4,,25947,,8,0.919
24,Liechtenstein,Ranked Country,LIE,0.883,79.8,10.3,g,11.9,,84880,h,-22,0.832
25,Italy,Ranked Country,ITA,0.881,82,10.1,c,16.2,,26158,,5,0.911
26,Luxembourg,Ranked Country,LUX,0.875,80.1,10.1,,13.5,,48285,,-20,0.858
26,United Kingdom,Ranked Country,GBR,0.875,80.3,9.4,,16.4,,32538,,-5,0.886
28,Czech Republic,Ranked Country,CZE,0.873,77.8,12.3,,15.3,,22067,,10,0.913
29,Greece,Ranked Country,GRC,0.86,80,10.1,c,16.3,,20511,,13,0.899
30,Brunei Darussalam,Ranked Country,BRN,0.855,78.1,8.6,,15,,45690,,-23,0.832
31,Cyprus,Ranked Country,CYP,0.848,79.8,9.8,,14.9,,23825,,4,0.869
32,Malta,Ranked Country,MLT,0.847,79.8,9.9,,15.1,,21184,,9,0.876
33,Andorra,Ranked Country,AND,0.846,81.1,10.4,i,11.7,,33918,j,-15,0.839
33,Estonia,Ranked Country,EST,0.846,75,12,,15.8,,17402,,13,0.892
35,Slovakia,Ranked Country,SVK,0.84,75.6,11.6,,14.7,,19696,,9,0.872
36,Qatar,Ranked Country,QAT,0.834,78.5,7.3,,12.2,,87478,k,-35,0.761
37,Hungary,Ranked Country,HUN,0.831,74.6,11.7,,15.3,,16088,,13,0.874
