COMMUNE,CANTON,REVENUS
01001,0110,20826
01002,0101,20739
01004,0101,18324
01005,0130,21442
01006,0104,19406
01007,0101,20043.5
01008,0117,22125
01009,0104,20269
01010,0131,17792
01011,0122,18980
01012,0115,20204
01013,0128,17483
01014,0123,17825
01015,0104,20567
01016,0126,18430
01017,0128,17020
01019,0136,
01021,0142,20737
01022,0109,17124
01023,0102,
01024,0121,19831
01025,0102,18895
01026,0102,19416
01027,0120,21801
01028,0130,20223.5
01029,0111,17354
01030,0134,16903
01031,0141,17335
01032,0120,19417
01033,0103,16977
01034,0104,16735
01035,0123,20102
01036,0109,20441
01037,0118,18191
01038,0111,20374
01039,0109,18006
01040,0121,17558
01041,0101,20878
01042,0127,22639
01043,0140,24619
01044,0103,22648
01045,0135,22453
01046,0110,18197
01047,0117,23370
01049,0120,22875
01050,0126,17749
01051,0116,
01052,0135,22602
01053,0199,17085
01054,0119,23188
01056,0124,18103
01057,0126,17990
01058,0104,17114
01059,0109,
01060,0106,19768
01061,0104,20505
01062,0120,23962
01063,0122,21648
01064,0118,18795
01065,0143,21892
01066,0136,
01067,0116,19132
01068,0124,18357
01069,0125,21137
01071,0114,32552
01072,0107,21382
01073,0136,19899
01074,0108,18986
01075,0130,22078
01076,0128,17454
01077,0124,16485
01078,0112,33894.5
01079,0109,17139
01080,0106,19278
01081,0103,21253
01082,0131,20236
01083,0130,20803
01084,0110,19523
01085,0135,20585
01087,0122,19932
01088,0119,23663
01089,0101,19796
01090,0108,20456
01091,0103,22212
01092,0108,20486
01093,0110,18958
01094,0126,18442
01095,0133,19568
01096,0110,18757
01097,0109,20595
01098,0104,18401
01099,0117,22666
01100,0136,16113
01101,0106,20057
01102,0126,19445
01103,0114,31830
01104,0112,19536
01105,0142,23576
01106,0107,17872.5
01107,0128,19522
01108,0111,19094
01109,0112,25306
01110,0104,20658
01111,0128,
01112,0106,19416
01113,0110,17762
01114,0112,21475
01115,0121,19385
01116,0136,19587
01117,0104,
01118,0131,20083
01119,0106,18490
01121,0115,
01122,0115,20949
01123,0127,19994
01124,0129,17697
01125,0133,19072
01127,0133,19676
01128,0129,18262
01129,0108,19598
01130,0121,20066
01133,0104,19826
01134,0127,20407
01135,0114,29248
01136,0127,19916
01138,0131,17041
01139,0129,15858
01140,0121,20610
01141,0136,20616
01142,0120,21027
01143,0114,34228
01144,0102,18136
01145,0125,18213
01146,0110,20306
01147,0111,16316
01148,0123,19259
01149,0101,22736
01150,0107,21118
01151,0125,20277
01152,0123,22191
01153,0114,36168
01154,0121,17169
01155,0128,17709
01156,0119,22723
01157,0130,22445
01158,0112,26394
01159,0102,19309
01160,0113,19973.5
01162,0136,
01163,0121,18355.5
01165,0130,20961
01166,0134,23078
01167,0132,20644
01169,0132,21337
01170,0122,18921
01171,0141,20827
01172,0133,16660
01173,0114,26917
01174,0103,17963
01175,0126,17882
01176,0106,
01177,0107,19671
01179,0127,18786
01180,0114,36161
01181,0141,21158
01182,0118,18043
01183,0132,20628
01184,0107,19338
01185,0115,18728
01186,0128,
01187,0106,16677
01188,0132,18439
01189,0103,20832
01190,0118,
01191,0106,17483
01192,0116,19118
01193,0104,20695
01194,0134,19713
01195,0107,22067
01196,0121,18235
01197,0125,21431
01198,0119,21325
01199,0124,17854
01200,0124,16598.5
01202,0117,18825
01203,0127,20342
01204,0122,17980
01205,0112,19698
01206,0106,21216
01207,0135,21719
01208,0104,20730
01209,0112,21824
01210,0114,17953
01211,0139,20286
01212,0129,16869
01213,0117,19490
01214,0116,19373
01215,0103,
01216,0118,19211
01218,0109,
01219,0118,13869
01221,0109,18943
01224,0117,18586
01225,0130,22848
01227,0104,20021
01228,0122,20285
01229,0121,20188
01230,0129,16748
01231,0102,19440
01232,0111,19140
01233,0118,18916
01234,0136,18423
01235,0135,19792
01236,0121,18967
01237,0141,19135
01238,0142,23718
01239,0104,20091
01240,0116,19627
01241,0133,22755
01242,0124,16428
01243,0130,21872
01244,0119,20019
01245,0107,20955
01246,0110,18690
01247,0114,21820
01248,0142,23754
01249,0140,21368
01250,0142,23384
01252,0132,20449
01254,0139,23412
01255,0118,17949
01257,0103,21875
01258,0132,20713
01259,0143,19894
01260,0119,21935
01261,0135,21925
01262,0120,18564
01263,0132,20989
01264,0139,20277
01265,0122,16140
01266,0121,18514
01267,0116,19810
01268,0104,20531
01269,0122,14353.5
01271,0104,20639.5
01272,0110,18653.5
01273,0125,18556
01274,0122,16117
01275,0140,25784
01276,0120,21992
01277,0128,18055
01279,0128,
01280,0118,18992
01281,0113,28166
01282,0106,21876
01283,0198,14562
01284,0126,17466
01285,0142,24686
01286,0104,20326
