CANTON,REVENUC
0101,19037
0102,19217
0103,18769
0104,18397
0106,19030
0107,20636
0108,19717
0109,18317
0110,18730
0111,18903.5
0112,25805
0113,26340
0114,30438
0115,19148
0116,19866.5
0117,19581
0118,18458
0119,21943
0120,20671.5
0121,19128
0122,17321
0123,18917
0124,18342
0125,19905
0126,18107
0127,19551
0128,16987
0129,16848
0130,21017.5
0131,17801
0132,19607
0133,19846
0134,20699
0135,20140
0136,18519
0139,20942
0140,22046
0141,18808
0142,23818
0143,21412
0198,14562
0199,17085
0201,18277
0202,14357
0203,13995
0204,17463
0205,15083
0206,16199
0207,18702
0208,18265
0209,16774
0210,18669
0211,16561
0212,17338
0213,17277
0214,16320
0215,16369
0216,14820
0217,13476
0218,18883
0219,15597.5
0220,19086
0221,18831
0222,17998
0223,15070
0224,18163
0225,15830
0226,13989
0227,15277
0229,17339
0230,15871
0231,17849
0232,17995
0233,19694
0234,15226
0235,18590
0236,17780
0237,14663
0238,19549
0239,19866
0240,17965
0241,18636
0242,14359
0297,14522
0298,14388
0299,14624
0301,15808
0302,16228
0303,16567
0304,17211
0305,16415
0306,20511
0307,16171
0308,14616
0309,16227
0310,19144
0311,16791
0312,16576
0313,16582
0314,14902
0315,15171
0316,15059
0317,17758.5
0318,14217
0319,16579.5
0320,18648
0321,20315
0322,15775
0323,21351
0324,20184
0325,17547
0326,17241
0327,16673
0328,16607
0331,19642
0332,19540
0333,19748
0334,18989
0335,18310
0396,16993
0397,16410
0398,16099
0399,16132
0402,16046
0403,16018
0404,17403
0405,14414
0406,16112
0407,17469
0408,19606
0409,16383
0410,17888
0411,18734
0412,15503
0413,19067
0414,17452
0415,18049
0416,16377
0417,16532
0418,16025
0419,17321
0420,16849
0421,16094.5
0422,17082
0423,16961
0426,15373
0427,17256
0428,14994
0429,17599
0430,18192
0431,19483
0432,18776
0433,23615
0497,18373
0498,17541
0501,17180
0502,17471
0503,15771
0504,16979
0505,17940
0506,18310
0507,17293
0508,17963
0509,19658
0510,16142
0511,18334
0512,17193
0513,19394
0514,17618
0515,17491
0516,15555
0517,14235
0518,16842
0519,15989
0520,15526.5
0521,17798
0522,15521
0523,18681
0524,16911
0525,19899
0598,17897
0599,18646
0601,25671
0602,24846
0603,18623
0604,17062
0605,21158
0607,20569.5
0608,17721
0609,19856
0610,21422.5
0611,16211
0612,22192
0613,23041
0618,16557
0619,16963
0620,19018
0621,15753
0622,18484
0623,18152
0624,17149
0625,21594
0626,19136
0627,17120
0628,22277
0629,16726
0630,22841
0631,17145
0635,17933
0636,20989
0643,19890
0645,24115
0646,24121
0650,19854
0652,22196
0693,19477
0694,19111
0695,18731.5
0696,20533.5
0697,20546
0698,17723
0699,17873
0701,18949
0702,15433
0703,17112
0704,17149
0705,14174
0706,17612.5
0707,17775
0708,14616
0709,16487
0710,14444
0711,16020
0712,13599
0713,18740.5
0714,18550
0715,14814
0716,13657
0717,15551
0718,15831.5
0719,20016
0720,15101
0721,17300
0722,18960
0723,15740
0724,17653
0725,12809
0726,16785
0727,15453
0728,15038
0729,17261
0730,16475
0731,17913
0732,18563
0733,17248
0799,15982
0801,17717
0802,16352
0803,14333
0804,15115
0805,21278
0806,16461
0807,14446
0808,15411
0809,18477
0810,14904.5
0811,16247
0812,14808
0813,19789
0814,17987
0815,21635
0816,15202
0817,16198
0818,16102
0819,16211
0820,17466
0821,16068
0822,18868
0823,16322
0824,15825
0825,15220
0826,19176
0827,17257
0828,16667
0829,14978
0830,15649
0831,16400
0832,23068
0833,20330
0834,14909
0835,13930
0836,16820
0837,18111
0898,14867
0899,12959
0901,17118.5
0902,14329.5
0903,18092
0904,15071
0905,17834
0906,15995
0907,15210
0908,14057
0909,11503
0910,15807
0911,14822
0912,17326
0913,16917.5
0914,14612
0915,16511
0916,18210
0917,16834
0918,16565
0919,18328
0920,15827
0921,18959
0922,18117
0999,15595
1001,16968
1002,18167
1003,17253
1004,18095
1005,20724
1006,17309
1007,17161
1008,16630
1009,17427
1010,19490
1011,18895
1012,20481
1013,18835
1014,18172
1015,19091
1016,17827
1017,18767
1018,17670
1019,20600
1020,18657
1021,18170
1022,20827
1023,19565.5
1025,17026
1026,18154
1028,20130
1029,20299
1031,18568
1032,19927
1033,16107
1096,12165
1097,14793
1099,15239
1101,14884
1102,17336
1103,14177
1104,14317
1105,15451
1106,15310
1107,18830
1108,17428
1109,16758
1110,17258
1111,13766
1112,17929
1113,14939
1114,16957
1115,13842
1116,15883
1117,15862
1118,13909
1119,14782
1120,16202
1121,14632
1122,17792
1123,12265
1125,14207
1126,14462.5
1127,16137
1128,15526
1129,17998
1130,16043
1131,13555
1133,16986
1134,16014
1197,15871
1198,15736.5
1199,15445
1201,16343
1202,14445
1203,19603
1204,14961
1205,15365
1206,17058
1207,16818
1208,14898
1209,15356
1210,15991
1211,15598
1212,17227
1213,15196
1214,15586
1215,17246
1216,18959
1217,17470
1218,15873
1219,15303
1220,14835
1221,15482
1222,15840
1223,17129.5
1224,17756
1225,14529
1226,15085
1227,16958
1228,21230
1229,17271
1230,14988
1231,15261
1232,14237.5
1233,14407
1234,15840
1235,14340
1236,13101
1237,15276
1238,14034
1239,16611
1240,16824
1241,14248
1242,17097
1243,16603
1244,17627
1245,20460
1246,19452
1297,17140
1298,18964
1301,26743
1302,25167
1303,19254
1305,20057
1306,18636
1307,17756
1308,19517
1309,20260
1310,22051
1311,15508
1312,20930
1326,17265
1327,20499.5
1328,15978
1329,22574
1330,15723
1331,18397
1332,18623
1333,15466
1334,22352
1335,23627
1336,17585
1348,22294
1349,19894
1350,14677
1351,23654
1352,22171
1353,17683
1354,23220
1394,18362
1395,18864
1396,19095
1397,21491
1398,15876
1399,16456
1401,16721.5
1402,17367
1403,18245
1404,16076
1405,19722
1406,19273.5
1407,18719
1408,23287
1409,20670
1410,17858.5
1411,16563
1412,15638
1413,22275
1414,21776
1415,17133
1416,21390
1417,16983
1418,18476
1419,17843
1420,15380
1421,18795
1422,19577
1423,16239.5
1424,16231
1425,16712
1426,16267
1427,18511
1428,19057
1429,15734
1430,15589
1431,17218
1432,20716
1433,17572
1434,18731
1435,18467
1436,15778
1437,18468
1438,17154
1440,27983
1443,17910
1444,19021
1446,19120
1447,19141
1448,20901
1449,19351
1493,15211
1497,18112
1498,15411
1499,14887
1501,14019
1503,19830
1504,15959
1505,14433
1506,14826
1507,15371
1508,14889
1509,16176
1510,15334
1511,14816
1512,16224
1513,14163
1514,15333
1515,15033
1516,13607
1517,15636
1518,15537
1519,16656
1520,15531
1521,16629
1522,14421
1523,16392
1525,17925
1526,18786
1527,19090
1598,18109
1599,17174
1601,15321
1604,15126
1605,15585.5
1606,16765
1607,18052
1608,14907
1609,15920
1610,15326.5
1611,14064
1612,17652
1613,19431
1614,14432
1615,14485.5
1616,19399
1617,18148
1618,15883
1619,15873
1620,14662
1621,15353.5
1622,17829
1623,16612
1624,15645
1625,17945.5
1626,15131
1627,18704
1628,17220
1629,15338
1630,19212
1631,19568
1632,17205
1633,19517
1635,19996
1697,17259
1698,16309
1699,17892
1701,18062
1702,16654
1703,21589
1704,14835
1705,17446
1706,17785
1707,17408
1708,16808
1709,16166
1710,20715
1711,16424
1712,15136
1713,18380
1714,16507
1715,15578
1716,14474
1717,15178
1718,15218
1719,15693
1720,16891
1721,20039
1725,19954
1726,18190
1727,15521
1728,15860
1729,16118
1730,21763
1731,18222
1732,16842
1733,16046.5
1734,19216
1735,19078
1736,17262
1737,16635
1738,15979
1739,16940
1740,17296
1743,20018
1744,21395.5
1746,20382
1749,21962
1750,23083
1751,18923
1796,19009
1797,16143
1798,17655
1799,17594
1801,18379
1802,17391
1803,17706
1804,17913
1806,16477
1807,16367
1808,18206
1809,15020
1810,17882
1811,15302
1812,17567
1813,16724
1814,17350
1815,16113
1816,17947
1817,20846
1818,16547
1819,19148
1820,18441
1821,15805
1822,16762
1823,20128
1824,17029
1825,18612
1826,15142
1827,15800
1828,16732
1830,18440
1835,21381
1898,18296
1899,15827
1901,17222
1902,17546
1903,16583
1904,18021
1905,16430
1907,16417
1908,17620
1909,19057
1910,17359
1911,16810
1912,17086
1913,14429
1914,19086
1915,16796
1916,14960
1917,17316
1918,17811
1919,16677
1920,17271
1921,16393
1922,19161
1923,16628
1924,16507
1927,18164
1928,17025
1929,17513
1930,22391
1933,19602
1934,20012
1935,20869
1936,19434
1937,18235
1997,17485
1998,17517
1999,18507
2101,17123
2102,16542
2103,17367
2104,16865
2105,21543
2106,21142
2107,17534.5
2108,16783
2109,23557
2110,20513
2113,17497
2114,20211
2115,22099
2116,17679
2117,20063
2118,17029
2119,16025
2120,20888
2121,17483
2122,16427
2123,19173
2124,20232
2125,18776
2126,18195
2127,17059
2128,15580
2129,17381
2130,18964
2131,16340
2132,19013
2133,18004
2134,17283.5
2135,20366
2136,17230.5
2137,16904
2138,19615
2139,24065
2143,24281
2197,15009.5
2198,18145
2199,20011
2201,16857
2202,15482
2203,14671
2204,16174
2205,14585
2206,16517
2207,17621
2208,16429
2209,15389
2210,15727
2211,19462
2212,18930
2213,20222
2214,16750
2215,15869
2216,17570.5
2217,17125
2218,18707
2219,19051
2220,16763
2221,16765
2222,17485
2223,15964
2224,17873
2225,16529
2226,17703
2227,16111
2228,18041
2229,21336
2230,17302
2231,17001
2232,19186.5
2233,18031
2234,17631
2235,17108
2236,16249
2237,18693
2238,16241
2239,17845
2240,15719
2241,17609
2242,16537
2243,16061
2246,14825
2247,16915
2248,15991
2249,19658
2250,20900
2251,18622
